exon	sample1	sample2	sample3	sample4	sample5	sample6
ENSG00000000003:001	576	506	526	643	482	826
ENSG00000000003:002	141	122	126	157	121	191
ENSG00000000003:003	123	102	106	133	99	156
ENSG00000000003:004	86	76	77	98	72	112
ENSG00000000003:005	97	83	87	113	76	126
ENSG00000000003:006	133	107	116	155	97	170
ENSG00000000003:007	117	96	108	137	90	162
ENSG00000000003:008	106	87	97	125	83	143
ENSG00000000003:009	137	122	127	165	117	195
ENSG00000000003:010	4	3	0	15	4	6
ENSG00000000003:011	74	70	70	89	65	110
ENSG00000000003:012	51	47	48	57	43	70
ENSG00000000003:013	8	7	7	10	7	15
ENSG00000000003:014	0	0	0	0	0	0
ENSG00000000003:015	0	0	0	0	0	0
ENSG00000000005:001	0	0	0	0	0	0
ENSG00000000005:002	0	0	0	0	0	0
ENSG00000000005:003	0	0	0	0	0	0
ENSG00000000005:004	0	0	0	0	0	0
ENSG00000000005:005	0	0	0	0	0	0
ENSG00000000005:006	0	0	0	0	0	0
ENSG00000000005:007	0	0	0	0	0	0
ENSG00000000005:008	0	0	0	0	0	0
ENSG00000000005:009	0	0	0	0	0	0
ENSG00000000419:001	29	20	38	31	54	33
ENSG00000000419:002	82	44	87	88	139	102
ENSG00000000419:003	89	49	93	98	153	113
ENSG00000000419:004	387	220	388	427	678	500
ENSG00000000419:005	313	178	311	338	544	385
ENSG00000000419:006	268	149	265	295	470	325
ENSG00000000419:007	7	3	3	5	15	2
ENSG00000000419:008	17	10	3	16	27	15
ENSG00000000419:009	80	44	67	49	103	73
ENSG00000000419:010	266	166	272	300	502	357
ENSG00000000419:011	197	111	202	223	373	264
ENSG00000000419:012	171	103	175	204	339	253
ENSG00000000419:013	221	138	228	253	432	315
ENSG00000000419:014	192	116	195	206	359	257
ENSG00000000419:015	261	145	264	279	470	343
ENSG00000000419:016	197	98	191	207	332	254
ENSG00000000419:017	38	15	36	36	54	43
ENSG00000000419:018	29	13	28	26	39	29
ENSG00000000419:019	2	0	2	1	1	1
ENSG00000000457:001	0	0	0	0	0	0
ENSG00000000457:002	0	0	0	0	0	0
ENSG00000000457:003	7	17	11	2	10	34
ENSG00000000457:004	26	37	27	1	28	75
ENSG00000000457:005	0	0	2	0	2	5
ENSG00000000457:006	14	10	12	1	5	33
ENSG00000000457:007	14	16	17	1	6	28
ENSG00000000457:008	21	20	21	4	10	42
ENSG00000000457:009	14	16	19	5	8	29
ENSG00000000457:010	10	11	16	1	7	27
ENSG00000000457:011	13	16	20	0	11	33
ENSG00000000457:012	1	0	3	0	0	0
ENSG00000000457:013	18	14	17	2	13	36
ENSG00000000457:014	12	13	19	2	9	36
ENSG00000000457:015	14	18	21	2	11	49
ENSG00000000457:016	20	24	23	1	23	65
ENSG00000000457:017	17	20	20	2	26	54
ENSG00000000457:018	6	8	9	1	14	12
ENSG00000000457:019	6	10	9	1	13	13
ENSG00000000457:020	1	1	1	0	0	2
ENSG00000000457:021	0	0	0	0	1	0
ENSG00000000460:001	0	4	7	3	7	5
ENSG00000000460:002	0	2	3	2	6	3
ENSG00000000460:003	0	3	8	3	4	3
ENSG00000000460:004	0	5	8	4	3	0
ENSG00000000460:005	1	3	5	2	1	1
ENSG00000000460:006	0	0	0	0	0	0
ENSG00000000460:007	0	0	0	0	0	0
ENSG00000000460:008	1	0	1	1	0	0
ENSG00000000460:009	2	3	1	2	5	3
ENSG00000000460:010	6	7	5	3	10	13
ENSG00000000460:011	12	10	11	8	18	11
ENSG00000000460:012	0	0	0	0	0	0
ENSG00000000460:013	8	9	3	7	13	6
ENSG00000000460:014	10	12	11	11	16	8
ENSG00000000460:015	25	17	24	22	37	25
ENSG00000000460:016	16	16	17	15	46	22
ENSG00000000460:017	29	28	32	19	66	34
ENSG00000000460:018	32	29	34	22	82	33
ENSG00000000460:019	3	5	5	4	23	6
ENSG00000000460:020	29	25	30	13	73	28
ENSG00000000460:021	3	4	2	1	9	3
ENSG00000000460:022	0	0	0	0	0	0
ENSG00000000460:023	20	12	24	6	33	24
ENSG00000000460:024	11	12	17	3	28	22
ENSG00000000460:025	14	12	17	6	34	21
ENSG00000000460:026	11	12	14	4	27	12
ENSG00000000460:027	8	12	13	2	26	12
ENSG00000000460:028	9	12	14	3	31	14
ENSG00000000460:029	0	0	0	0	0	0
ENSG00000000460:030	16	13	20	4	38	21
ENSG00000000460:031	19	14	16	5	30	22
ENSG00000000460:032	29	14	21	9	43	25
ENSG00000000460:033	0	0	0	0	0	0
ENSG00000000460:034	21	12	23	8	35	15
ENSG00000000460:035	15	10	24	7	30	11
ENSG00000000460:036	21	12	30	9	35	14
ENSG00000000460:037	37	16	36	18	44	27
ENSG00000000460:038	27	12	24	12	39	32
ENSG00000000460:039	20	18	17	9	35	33
ENSG00000000460:040	21	18	18	8	44	31
ENSG00000000460:041	18	14	17	9	36	24
ENSG00000000460:042	13	8	13	4	30	19
ENSG00000000460:043	8	4	9	3	15	8
ENSG00000000460:044	1	0	1	0	5	6
ENSG00000000460:045	9	4	9	2	16	11
ENSG00000000460:046	0	0	0	0	0	0
ENSG00000000460:047	7	9	7	1	12	7
ENSG00000000938:001	0	0	0	0	0	0
ENSG00000000938:002	0	0	0	0	0	0
ENSG00000000938:003	0	0	0	0	0	0
ENSG00000000938:004	0	0	0	0	0	0
ENSG00000000938:005	0	0	0	0	0	0
ENSG00000000938:006	0	0	0	0	0	0
ENSG00000000938:007	0	0	0	0	0	0
ENSG00000000938:008	0	0	0	0	0	0
ENSG00000000938:009	0	0	0	0	0	0
ENSG00000000938:010	0	0	0	0	0	0
ENSG00000000938:011	0	0	0	0	0	0
ENSG00000000938:012	0	0	0	0	0	0
ENSG00000000938:013	0	0	0	0	0	0
ENSG00000000938:014	0	0	0	0	0	0
ENSG00000000938:015	0	0	0	0	0	0
ENSG00000000938:016	0	0	0	0	0	0
ENSG00000000938:017	0	0	0	0	0	0
ENSG00000000938:018	0	0	0	0	0	0
ENSG00000000938:019	0	0	0	0	0	0
ENSG00000000938:020	0	0	0	0	0	0
ENSG00000000938:021	0	0	0	0	0	0
ENSG00000000938:022	0	0	0	0	0	0
ENSG00000000938:023	0	0	0	0	0	0
ENSG00000000938:024	0	0	0	0	0	0
ENSG00000000938:025	0	0	0	0	0	0
ENSG00000000938:026	0	0	0	0	0	0
ENSG00000000971:001	49	37	43	39	17	24
ENSG00000000971:002	81	52	70	67	31	39
ENSG00000000971:003	115	73	98	80	40	48
ENSG00000000971:004	0	0	0	0	0	0
ENSG00000000971:005	86	56	77	54	29	41
ENSG00000000971:006	80	58	67	52	22	35
ENSG00000000971:007	2	0	0	0	3	0
ENSG00000000971:008	130	75	101	83	38	50
ENSG00000000971:009	11	9	5	4	9	2
ENSG00000000971:010	123	69	95	85	35	50
ENSG00000000971:011	112	72	97	86	34	54
ENSG00000000971:012	113	83	104	79	41	57
ENSG00000000971:013	97	76	85	66	43	49
ENSG00000000971:014	12	16	18	20	7	6
ENSG00000000971:015	0	0	0	0	0	0
ENSG00000000971:016	76	65	60	49	26	39
ENSG00000000971:017	80	64	62	54	19	33
ENSG00000000971:018	98	66	68	54	31	40
ENSG00000000971:019	107	63	67	51	40	45
ENSG00000000971:020	85	56	59	40	37	48
ENSG00000000971:021	82	61	66	52	31	46
ENSG00000000971:022	68	35	49	41	19	28
ENSG00000000971:023	72	34	51	41	17	19
ENSG00000000971:024	101	44	75	53	19	23
ENSG00000000971:025	100	49	76	50	27	33
ENSG00000000971:026	3	0	1	3	1	0
ENSG00000000971:027	8	4	3	4	3	0
ENSG00000000971:028	92	58	61	42	37	43
ENSG00000000971:029	80	53	50	37	36	49
ENSG00000000971:030	62	39	44	34	25	32
ENSG00000000971:031	82	45	61	49	27	32
ENSG00000001036:001	728	680	581	768	623	573
ENSG00000001036:002	0	0	0	0	0	0
ENSG00000001036:003	2	12	2	3	0	1
ENSG00000001036:004	549	524	430	591	488	454
ENSG00000001036:005	339	333	262	359	305	279
ENSG00000001036:006	670	655	524	712	590	540
ENSG00000001036:007	683	667	549	726	581	520
ENSG00000001036:008	928	855	708	943	789	713
ENSG00000001036:009	655	632	490	660	554	507
ENSG00000001036:010	518	489	392	531	435	400
ENSG00000001036:011	68	52	46	61	56	52
ENSG00000001084:001	218	329	152	110	59	63
ENSG00000001084:002	191	301	151	97	52	49
ENSG00000001084:003	97	140	69	41	24	20
ENSG00000001084:004	90	122	69	36	16	21
ENSG00000001084:005	0	0	1	0	0	0
ENSG00000001084:006	1	4	4	1	1	1
ENSG00000001084:007	86	122	65	39	17	27
ENSG00000001084:008	0	0	1	0	0	1
ENSG00000001084:009	81	119	65	40	24	31
ENSG00000001084:010	0	0	2	1	0	1
ENSG00000001084:011	0	0	0	0	0	0
ENSG00000001084:012	85	123	64	45	30	30
ENSG00000001084:013	1	3	2	0	2	3
ENSG00000001084:014	83	115	54	45	26	27
ENSG00000001084:015	53	69	36	28	17	18
ENSG00000001084:016	82	105	50	44	28	28
ENSG00000001084:017	3	2	3	4	1	2
ENSG00000001084:018	74	114	54	30	20	20
ENSG00000001084:019	45	78	42	15	12	11
ENSG00000001084:020	74	127	59	32	17	18
ENSG00000001084:021	70	110	56	23	9	10
ENSG00000001084:022	5	11	8	11	12	1
ENSG00000001084:023	0	0	0	0	0	0
ENSG00000001084:024	51	72	34	13	5	6
ENSG00000001084:025	71	102	46	26	16	16
ENSG00000001084:026	58	79	39	22	14	13
ENSG00000001084:027	39	60	30	18	13	12
ENSG00000001084:028	76	92	45	39	23	29
ENSG00000001084:029	0	0	0	0	0	0
ENSG00000001084:030	106	121	65	61	46	46
ENSG00000001084:031	67	72	43	43	36	30
ENSG00000001084:032	143	198	104	110	75	79
ENSG00000001084:033	73	119	57	61	40	41
ENSG00000001084:034	71	109	52	48	31	36
ENSG00000001084:035	0	0	0	0	0	0
ENSG00000001084:036	10	11	6	19	8	12
ENSG00000001084:037	63	99	49	24	16	12
ENSG00000001084:038	118	200	99	60	37	35
ENSG00000001084:039	26	47	21	16	9	9
ENSG00000001084:040	8	21	7	7	5	5
ENSG00000001084:041	0	1	0	0	0	0
ENSG00000001084:042	0	0	0	0	0	0
ENSG00000001084:043	0	0	0	0	0	0
ENSG00000001167:001	3	10	26	4	4	3
ENSG00000001167:002	32	64	119	15	18	16
ENSG00000001167:003	73	140	224	26	33	27
ENSG00000001167:004	85	144	210	29	36	27
ENSG00000001167:005	100	174	254	45	48	31
ENSG00000001167:006	90	153	233	45	48	36
ENSG00000001167:007	86	134	214	37	40	33
ENSG00000001167:008	90	159	273	53	56	48
ENSG00000001167:009	108	191	276	53	50	35
ENSG00000001167:010	95	167	228	36	41	30
ENSG00000001167:011	159	284	424	70	74	62
ENSG00000001167:012	560	1058	1595	267	247	191
ENSG00000001460:001	0	0	0	0	0	0
ENSG00000001460:002	0	0	0	0	0	0
ENSG00000001460:003	0	0	0	2	1	2
ENSG00000001460:004	211	299	158	230	302	202
ENSG00000001460:005	36	67	40	52	69	43
ENSG00000001460:006	1	2	0	0	0	2
ENSG00000001460:007	0	3	0	0	0	2
ENSG00000001460:008	0	0	0	0	2	0
ENSG00000001460:009	34	55	27	53	69	38
ENSG00000001460:010	39	50	19	37	49	33
ENSG00000001460:011	3	1	1	0	5	3
ENSG00000001460:012	51	65	40	35	47	39
ENSG00000001460:013	0	0	1	0	0	0
ENSG00000001460:014	35	41	26	31	38	30
ENSG00000001460:015	0	1	2	2	0	0
ENSG00000001460:016	2	7	5	7	3	3
ENSG00000001460:017	23	30	13	23	25	18
ENSG00000001460:018	47	57	24	37	39	34
ENSG00000001460:019	5	8	6	16	9	9
ENSG00000001460:020	0	0	0	0	0	0
ENSG00000001460:021	2	8	4	6	15	8
ENSG00000001460:022	30	41	14	29	36	31
ENSG00000001460:023	39	53	14	41	48	34
ENSG00000001460:024	0	0	0	0	0	0
ENSG00000001460:025	1	1	2	2	4	3
ENSG00000001460:026	0	0	0	0	0	0
ENSG00000001460:027	0	0	0	0	0	0
ENSG00000001460:028	12	20	4	16	16	14
ENSG00000001460:029	4	11	3	4	1	10
ENSG00000001460:030	18	27	29	35	14	28
ENSG00000001460:031	3	3	8	17	9	12
ENSG00000001460:032	0	1	3	9	5	5
ENSG00000001460:033	6	20	25	22	14	21
ENSG00000001460:034	2	9	4	9	6	4
ENSG00000001460:035	3	5	9	15	10	9
ENSG00000001460:036	2	6	9	9	6	8
ENSG00000001460:037	2	10	9	13	7	10
ENSG00000001461:001	0	0	0	0	0	0
ENSG00000001461:002	0	0	0	0	0	0
ENSG00000001461:003	0	0	0	0	0	0
ENSG00000001461:004	0	0	0	0	0	0
ENSG00000001461:005	0	0	0	0	0	0
ENSG00000001461:006	0	0	0	0	0	0
ENSG00000001461:007	454	203	153	201	436	285
ENSG00000001461:008	450	202	151	219	442	301
ENSG00000001461:009	0	0	0	0	0	0
ENSG00000001461:010	0	0	0	0	0	0
ENSG00000001461:011	300	141	93	151	293	195
ENSG00000001461:012	448	197	133	201	414	252
ENSG00000001461:013	647	293	199	281	592	387
ENSG00000001461:014	416	190	141	204	440	281
ENSG00000001461:015	567	271	190	269	571	358
ENSG00000001461:016	484	237	171	226	488	293
ENSG00000001461:017	0	0	2	6	11	7
ENSG00000001461:018	0	0	5	21	25	15
ENSG00000001461:019	336	173	122	165	359	213
ENSG00000001461:020	488	244	189	239	520	329
ENSG00000001461:021	0	0	1	0	0	7
ENSG00000001461:022	449	224	163	200	458	295
ENSG00000001461:023	417	190	129	174	396	257
ENSG00000001461:024	471	215	150	194	455	300
ENSG00000001461:025	0	0	3	0	0	61
ENSG00000001461:026	48	40	21	16	40	55
ENSG00000001461:027	0	0	0	0	0	0
ENSG00000001461:028	691	283	220	311	683	427
ENSG00000001461:029	4294	1872	1291	1912	3903	2703
ENSG00000001497:001	0	0	0	1	0	0
ENSG00000001497:002	136	198	85	24	59	26
ENSG00000001497:003	129	196	76	26	55	23
ENSG00000001497:004	257	383	164	53	100	56
ENSG00000001497:005	22	24	12	5	8	0
ENSG00000001497:006	26	17	13	4	6	0
ENSG00000001497:007	59	36	29	6	7	5
ENSG00000001497:008	96	147	73	21	32	18
ENSG00000001497:009	111	168	71	19	38	20
ENSG00000001497:010	162	249	103	32	75	30
ENSG00000001497:011	24	20	10	2	5	6
ENSG00000001497:012	102	185	53	23	59	14
ENSG00000001497:013	105	186	67	21	59	16
ENSG00000001497:014	88	123	62	13	45	14
ENSG00000001497:015	166	272	130	41	89	29
ENSG00000001497:016	94	152	66	29	48	12
ENSG00000001497:017	95	136	58	20	52	8
ENSG00000001497:018	138	155	74	21	60	15
ENSG00000001497:019	131	171	69	19	51	21
ENSG00000001497:020	1	0	0	0	0	0
ENSG00000001497:021	1	0	0	0	0	0
ENSG00000001561:001	1	0	0	3	1	1
ENSG00000001561:002	4	1	9	12	4	3
ENSG00000001561:003	0	0	6	4	0	1
ENSG00000001561:004	5	5	30	23	10	22
ENSG00000001617:001	0	0	3	2	2	0
ENSG00000001617:002	0	4	5	4	8	6
ENSG00000001617:003	11	24	25	12	17	23
ENSG00000001617:004	21	48	47	22	26	36
ENSG00000001617:005	54	118	90	79	91	107
ENSG00000001617:006	65	134	93	86	102	107
ENSG00000001617:007	0	0	0	0	0	0
ENSG00000001617:008	0	0	0	0	0	0
ENSG00000001617:009	44	77	53	43	49	69
ENSG00000001617:010	77	146	125	82	97	117
ENSG00000001617:011	68	164	136	82	93	103
ENSG00000001617:012	60	151	126	73	84	93
ENSG00000001617:013	124	282	232	135	156	190
ENSG00000001617:014	0	0	0	0	0	0
ENSG00000001617:015	110	212	176	100	123	154
ENSG00000001617:016	0	0	0	0	0	0
ENSG00000001617:017	136	257	188	124	158	175
ENSG00000001617:018	44	75	47	54	78	68
ENSG00000001617:019	123	252	179	105	149	150
ENSG00000001617:020	114	265	217	121	153	185
ENSG00000001617:021	0	0	0	0	0	0
ENSG00000001617:022	119	295	214	124	155	181
ENSG00000001617:023	71	176	122	59	99	113
ENSG00000001617:024	117	281	198	104	171	165
ENSG00000001617:025	102	214	175	101	136	137
ENSG00000001617:026	130	250	205	141	163	159
