"Exon2" "Exon3" "Exon4" "Samp2" "Samp3" "Samp4" "Samp5" "Samp6" "Exon2:Cond1" "Exon3:Cond1" "Exon4:Cond1"
0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0 0
0 0 1 1 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0
1 0 0 0 1 0 0 0 0 0 0
0 1 0 0 1 0 0 0 0 0 0
0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0
1 0 0 0 0 1 0 0 1 0 0
0 1 0 0 0 1 0 0 0 1 0
0 0 1 0 0 1 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0
1 0 0 0 0 0 1 0 1 0 0
0 1 0 0 0 0 1 0 0 1 0
0 0 1 0 0 0 1 0 0 0 1
0 0 0 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 1 1 0 0
0 1 0 0 0 0 0 1 0 1 0
0 0 1 0 0 0 0 1 0 0 1
