exon	count
ENSG00000000003:001	526
ENSG00000000003:002	126
ENSG00000000003:003	106
ENSG00000000003:004	77
ENSG00000000003:005	87
ENSG00000000003:006	116
ENSG00000000003:007	108
ENSG00000000003:008	97
ENSG00000000003:009	127
ENSG00000000003:010	0
ENSG00000000003:011	70
ENSG00000000003:012	48
ENSG00000000003:013	7
ENSG00000000003:014	0
ENSG00000000003:015	0
ENSG00000000005:001	0
ENSG00000000005:002	0
ENSG00000000005:003	0
ENSG00000000005:004	0
ENSG00000000005:005	0
ENSG00000000005:006	0
ENSG00000000005:007	0
ENSG00000000005:008	0
ENSG00000000005:009	0
ENSG00000000419:001	38
ENSG00000000419:002	87
ENSG00000000419:003	93
ENSG00000000419:004	388
ENSG00000000419:005	311
ENSG00000000419:006	265
ENSG00000000419:007	3
ENSG00000000419:008	3
ENSG00000000419:009	67
ENSG00000000419:010	272
ENSG00000000419:011	202
ENSG00000000419:012	175
ENSG00000000419:013	228
ENSG00000000419:014	195
ENSG00000000419:015	264
ENSG00000000419:016	191
ENSG00000000419:017	36
ENSG00000000419:018	28
ENSG00000000419:019	2
ENSG00000000457:001	0
ENSG00000000457:002	0
ENSG00000000457:003	11
ENSG00000000457:004	27
ENSG00000000457:005	2
ENSG00000000457:006	12
ENSG00000000457:007	17
ENSG00000000457:008	21
ENSG00000000457:009	19
ENSG00000000457:010	16
ENSG00000000457:011	20
ENSG00000000457:012	3
ENSG00000000457:013	17
ENSG00000000457:014	19
ENSG00000000457:015	21
ENSG00000000457:016	23
ENSG00000000457:017	20
ENSG00000000457:018	9
ENSG00000000457:019	9
ENSG00000000457:020	1
ENSG00000000457:021	0
ENSG00000000460:001	7
ENSG00000000460:002	3
ENSG00000000460:003	8
ENSG00000000460:004	8
ENSG00000000460:005	5
ENSG00000000460:006	0
ENSG00000000460:007	0
ENSG00000000460:008	1
ENSG00000000460:009	1
ENSG00000000460:010	5
ENSG00000000460:011	11
ENSG00000000460:012	0
ENSG00000000460:013	3
ENSG00000000460:014	11
ENSG00000000460:015	24
ENSG00000000460:016	17
ENSG00000000460:017	32
ENSG00000000460:018	34
ENSG00000000460:019	5
ENSG00000000460:020	30
ENSG00000000460:021	2
ENSG00000000460:022	0
ENSG00000000460:023	24
ENSG00000000460:024	17
ENSG00000000460:025	17
ENSG00000000460:026	14
ENSG00000000460:027	13
ENSG00000000460:028	14
ENSG00000000460:029	0
ENSG00000000460:030	20
ENSG00000000460:031	16
ENSG00000000460:032	21
ENSG00000000460:033	0
ENSG00000000460:034	23
ENSG00000000460:035	24
ENSG00000000460:036	30
ENSG00000000460:037	36
ENSG00000000460:038	24
ENSG00000000460:039	17
ENSG00000000460:040	18
ENSG00000000460:041	17
ENSG00000000460:042	13
ENSG00000000460:043	9
ENSG00000000460:044	1
ENSG00000000460:045	9
ENSG00000000460:046	0
ENSG00000000460:047	7
ENSG00000000938:001	0
ENSG00000000938:002	0
ENSG00000000938:003	0
ENSG00000000938:004	0
ENSG00000000938:005	0
ENSG00000000938:006	0
ENSG00000000938:007	0
ENSG00000000938:008	0
ENSG00000000938:009	0
ENSG00000000938:010	0
ENSG00000000938:011	0
ENSG00000000938:012	0
ENSG00000000938:013	0
ENSG00000000938:014	0
ENSG00000000938:015	0
ENSG00000000938:016	0
ENSG00000000938:017	0
ENSG00000000938:018	0
ENSG00000000938:019	0
ENSG00000000938:020	0
ENSG00000000938:021	0
ENSG00000000938:022	0
ENSG00000000938:023	0
ENSG00000000938:024	0
ENSG00000000938:025	0
ENSG00000000938:026	0
ENSG00000000971:001	43
ENSG00000000971:002	70
ENSG00000000971:003	98
ENSG00000000971:004	0
ENSG00000000971:005	77
ENSG00000000971:006	67
ENSG00000000971:007	0
ENSG00000000971:008	101
ENSG00000000971:009	5
ENSG00000000971:010	95
ENSG00000000971:011	97
ENSG00000000971:012	104
ENSG00000000971:013	85
ENSG00000000971:014	18
ENSG00000000971:015	0
ENSG00000000971:016	60
ENSG00000000971:017	62
ENSG00000000971:018	68
ENSG00000000971:019	67
ENSG00000000971:020	59
ENSG00000000971:021	66
ENSG00000000971:022	49
ENSG00000000971:023	51
ENSG00000000971:024	75
ENSG00000000971:025	76
ENSG00000000971:026	1
ENSG00000000971:027	3
ENSG00000000971:028	61
ENSG00000000971:029	50
ENSG00000000971:030	44
ENSG00000000971:031	61
ENSG00000001036:001	581
ENSG00000001036:002	0
ENSG00000001036:003	2
ENSG00000001036:004	430
ENSG00000001036:005	262
ENSG00000001036:006	524
ENSG00000001036:007	549
ENSG00000001036:008	708
ENSG00000001036:009	490
ENSG00000001036:010	392
ENSG00000001036:011	46
ENSG00000001084:001	152
ENSG00000001084:002	151
ENSG00000001084:003	69
ENSG00000001084:004	69
ENSG00000001084:005	1
ENSG00000001084:006	4
ENSG00000001084:007	65
ENSG00000001084:008	1
ENSG00000001084:009	65
ENSG00000001084:010	2
ENSG00000001084:011	0
ENSG00000001084:012	64
ENSG00000001084:013	2
ENSG00000001084:014	54
ENSG00000001084:015	36
ENSG00000001084:016	50
ENSG00000001084:017	3
ENSG00000001084:018	54
ENSG00000001084:019	42
ENSG00000001084:020	59
ENSG00000001084:021	56
ENSG00000001084:022	8
ENSG00000001084:023	0
ENSG00000001084:024	34
ENSG00000001084:025	46
ENSG00000001084:026	39
ENSG00000001084:027	30
ENSG00000001084:028	45
ENSG00000001084:029	0
ENSG00000001084:030	65
ENSG00000001084:031	43
ENSG00000001084:032	104
ENSG00000001084:033	57
ENSG00000001084:034	52
ENSG00000001084:035	0
ENSG00000001084:036	6
ENSG00000001084:037	49
ENSG00000001084:038	99
ENSG00000001084:039	21
ENSG00000001084:040	7
ENSG00000001084:041	0
ENSG00000001084:042	0
ENSG00000001084:043	0
ENSG00000001167:001	26
ENSG00000001167:002	119
ENSG00000001167:003	224
ENSG00000001167:004	210
ENSG00000001167:005	254
ENSG00000001167:006	233
ENSG00000001167:007	214
ENSG00000001167:008	273
ENSG00000001167:009	276
ENSG00000001167:010	228
ENSG00000001167:011	424
ENSG00000001167:012	1595
ENSG00000001460:001	0
ENSG00000001460:002	0
ENSG00000001460:003	0
ENSG00000001460:004	158
ENSG00000001460:005	40
ENSG00000001460:006	0
ENSG00000001460:007	0
ENSG00000001460:008	0
ENSG00000001460:009	27
ENSG00000001460:010	19
ENSG00000001460:011	1
ENSG00000001460:012	40
ENSG00000001460:013	1
ENSG00000001460:014	26
ENSG00000001460:015	2
ENSG00000001460:016	5
ENSG00000001460:017	13
ENSG00000001460:018	24
ENSG00000001460:019	6
ENSG00000001460:020	0
ENSG00000001460:021	4
ENSG00000001460:022	14
ENSG00000001460:023	14
ENSG00000001460:024	0
ENSG00000001460:025	2
ENSG00000001460:026	0
ENSG00000001460:027	0
ENSG00000001460:028	4
ENSG00000001460:029	3
ENSG00000001460:030	29
ENSG00000001460:031	8
ENSG00000001460:032	3
ENSG00000001460:033	25
ENSG00000001460:034	4
ENSG00000001460:035	9
ENSG00000001460:036	9
ENSG00000001460:037	9
ENSG00000001461:001	0
ENSG00000001461:002	0
ENSG00000001461:003	0
ENSG00000001461:004	0
ENSG00000001461:005	0
ENSG00000001461:006	0
ENSG00000001461:007	153
ENSG00000001461:008	151
ENSG00000001461:009	0
ENSG00000001461:010	0
ENSG00000001461:011	93
ENSG00000001461:012	133
ENSG00000001461:013	199
ENSG00000001461:014	141
ENSG00000001461:015	190
ENSG00000001461:016	171
ENSG00000001461:017	2
ENSG00000001461:018	5
ENSG00000001461:019	122
ENSG00000001461:020	189
ENSG00000001461:021	1
ENSG00000001461:022	163
ENSG00000001461:023	129
ENSG00000001461:024	150
ENSG00000001461:025	3
ENSG00000001461:026	21
ENSG00000001461:027	0
ENSG00000001461:028	220
ENSG00000001461:029	1291
ENSG00000001497:001	0
ENSG00000001497:002	85
ENSG00000001497:003	76
ENSG00000001497:004	164
ENSG00000001497:005	12
ENSG00000001497:006	13
ENSG00000001497:007	29
ENSG00000001497:008	73
ENSG00000001497:009	71
ENSG00000001497:010	103
ENSG00000001497:011	10
ENSG00000001497:012	53
ENSG00000001497:013	67
ENSG00000001497:014	62
ENSG00000001497:015	130
ENSG00000001497:016	66
ENSG00000001497:017	58
ENSG00000001497:018	74
ENSG00000001497:019	69
ENSG00000001497:020	0
ENSG00000001497:021	0
ENSG00000001561:001	0
ENSG00000001561:002	9
ENSG00000001561:003	6
ENSG00000001561:004	30
ENSG00000001617:001	3
ENSG00000001617:002	5
ENSG00000001617:003	25
ENSG00000001617:004	47
ENSG00000001617:005	90
ENSG00000001617:006	93
ENSG00000001617:007	0
ENSG00000001617:008	0
ENSG00000001617:009	53
ENSG00000001617:010	125
ENSG00000001617:011	136
ENSG00000001617:012	126
ENSG00000001617:013	232
ENSG00000001617:014	0
ENSG00000001617:015	176
ENSG00000001617:016	0
ENSG00000001617:017	188
ENSG00000001617:018	47
ENSG00000001617:019	179
ENSG00000001617:020	217
ENSG00000001617:021	0
ENSG00000001617:022	214
ENSG00000001617:023	122
