gene	ds_status
ENSG00000000003	0
ENSG00000000005	0
ENSG00000000419	0
ENSG00000000457	0
ENSG00000000460	0
ENSG00000000938	0
ENSG00000000971	0
ENSG00000001036	0
ENSG00000001084	1
ENSG00000001167	0
ENSG00000001460	0
ENSG00000001461	0
ENSG00000001497	0
ENSG00000001561	0
ENSG00000001617	1
ENSG00000001626	0
ENSG00000001629	0
ENSG00000001630	0
ENSG00000001631	0
ENSG00000002016	0
ENSG00000002330	0
ENSG00000002549	0
ENSG00000002586	0
ENSG00000002587	0
ENSG00000002726	0
ENSG00000002745	0
ENSG00000002746	0
ENSG00000002822	0
ENSG00000002834	0
ENSG00000002919	0
ENSG00000002933	0
ENSG00000003056	0
ENSG00000003096	0
ENSG00000003137	0
ENSG00000003147	0
ENSG00000003249	0
ENSG00000003393	0
ENSG00000003400	0
ENSG00000003402	0
ENSG00000003436	0
ENSG00000003509	0
ENSG00000003756	0
ENSG00000003987	0
ENSG00000003989	0
ENSG00000004059	0
ENSG00000004139	0
ENSG00000004399	0
ENSG00000004455	0
ENSG00000004468	0
ENSG00000004478	0
ENSG00000004487	0
ENSG00000004534	1
ENSG00000004660	0
ENSG00000004700	0
ENSG00000004766	1
ENSG00000004776	0
ENSG00000004777	0
ENSG00000004779	0
ENSG00000004799	0
ENSG00000004809	0
ENSG00000004838	0
ENSG00000004846	0
ENSG00000004848	0
ENSG00000004864	0
ENSG00000004866	0
ENSG00000004897	1
ENSG00000004939	0
ENSG00000004948	0
ENSG00000004961	0
ENSG00000004975	0
ENSG00000005001	0
ENSG00000005007	0
ENSG00000005020	0
ENSG00000005022	0
ENSG00000005059	0
ENSG00000005073	0
ENSG00000005075	0
ENSG00000005100	0
ENSG00000005102	0
ENSG00000005108	0
ENSG00000005156	0
ENSG00000005175	0
ENSG00000005187	0
ENSG00000005189	0
ENSG00000005194	0
ENSG00000005238	1
ENSG00000005243	0
ENSG00000005249	0
ENSG00000005302	0
ENSG00000005339	0
ENSG00000005379	0
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	0
ENSG00000005448	0
ENSG00000005469	0
ENSG00000005471	0
ENSG00000005483	0
ENSG00000005486	0
ENSG00000005513	0
